name,romanize name,School-Department,University,Rank,Apella_id,Scholar name,Scholar id
 Εμμανουήλ Κριεζής, Emmanouil Kriezis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,auth,Καθηγητής,3707,,
Νικόλαος Κυρπίδης,Nikolaos Kyrpidis,Department of Energy ,Joint Genome Institute,Διευθυντής Ερευνών,7506,,
Ελισάβετ Κωνσταντίνου,Elisavet Konstantinou,Μηχανικών Πληροφοριακών και Επικοινωνιακών Συστημάτων,aegean,Επίκουρος Καθηγητής (Μόνιμος),5934,,
Παναγιώτης Κωνσταντόπουλος,Panagiotis Konstantopoulos,Πληροφορικης,aueb,Καθηγητής,18164,,
Χαράλαμπος Κωνσταντόπουλος,Charalampos Konstantopoulos,Πληροφορικης,unipi,Αναπληρωτής Καθηγητής,13839,,
Παναγιώτης  Κωττής,Panagiotis  Kottis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ntua,Καθηγητής,4033,,
Μιχαήλ Λαγουδάκης,Michail Lagoudakis,Ηλεκτρονικών Μηχ και Μηχ Υπολογιστών,tuc,Αναπληρωτής Καθηγητής,3647,,
Σπυρίδων-Γεράσιμος  Λάλης,Spyridon-Gerasimos  Lalis,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,uth,Καθηγητής,17837,,
Ανδρέας Λανίτης,Andreas Lanitis, Multimedia and Graphic Arts,Cyprus University of Technology,Αναπληρωτής Καθηγητής,8086,,
 Θεόδωρος Λαόπουλος, Theodoros Laopoulos,Φυσικής,auth,Καθηγητής,17535,,
Γεώργιος Λέπουρας,Georgios Lepouras,Πληροφορικής & Τηλεπικοινωνιών,uop,Καθηγητής,18491,,
Μιχαήλ  Λογοθέτης,Michail  Logothetis,Ηλεκτρολόγων Μηχ & Τεχνολογίας Υπολογιστών,upatras,Καθηγητής,8497,,
Εμμανουήλ Λουράκης,Emmanouil Lourakis,Ινστιτούτο Πληροφορικής,forth,Διευθυντής Ερευνών,18073,,
Μαλαματή Λούτα,Malamati Louta,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,uowm,Αναπληρωτής Καθηγητής,8334,,
Αριστείδης Λύκας,Aristeidis Lykas,Μηχανικών Ηλεκτρονικών Υπολογιστών  & Πληροφορικής,uoi,Καθηγητής,11212,,
Σπυρίδων Λυκοθανάσης,Spyridon Lykothanasis,Μηχανικών Ηλεκτρονικών Υπολογιστών  & Πληροφορικής,upatras,Καθηγητής,17284,,
Νίκος Μαγκλαβέρας,Nikos Magklaveras,Ιατρική,auth,Καθηγητής,18291,,
Εμμανουήλ Μάγκος,Emmanouil Magkos,Πληροφορικής,ionio,Αναπληρωτής Καθηγητής,17022,,
Γεώργιος Μακράκης,Georgios Makrakis,Μαθηματικών & Εφαρμοσμένων Μαθηματικών,uoc,Καθηγητής,17699,,
Γεώργιος Μακρής,Georgios Makris,Electrical Engineering,University of Texas at Dallas,Καθηγητής,9069,,
Νικόλαος Μαλεύρης,Nikolaos Malevris,Πληροφορικής,aueb,Καθηγητής,144,,
Νικόλαος Μαμουλής,Nikolaos Mamoulis,Μηχ Ηλεκτρονικών Υπολογιστών & Πληροφορικής,uoi, Καθηγητής,18640,,
Αικατερίνη Μανιά,Aikaterini Mania,Ηλεκτρονικών Μηχ και Μηχ Υπολογιστών,tuc,Αναπληρωτής Καθηγητής,10330,,
Ιωάννης Μανουσάκης,Ioannis Manousakis,Computer Science,"LRI, University Paris South, Orsay",Καθηγητής,11102,,
Ηλίας Μανωλάκος,Ilias Manolakos,Πληροφορικής & Τηλεπικοινωνιών,uoa,Καθηγητής,17276,,
Πέτρος Μαραγκός,Petros Maragkos,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,ntua,Καθηγητής,10326,,
Εμμανουήλ Μαραγκουδάκης,Emmanouil Maragkoudakis,Πληροφορικής,ionio,Καθηγητής,19548,,
Κωνσταντίνος Μαργαρίτης,Konstantinos Margaritis,Εφαρμοσμένης Πληροφορικής,uom,Καθηγητής,6934,,
Κωνσταντίνος Μαρκαντωνάκης,Konstantinos Markantonakis,Information Security Group,"Royal Holloway, University of London", Καθηγητής,3716,,
Ευάγγελος Μαρκάτος,Evangelos Markatos,Επιστήμης Υπολογιστών,uoc,Καθηγητής,4137,,
Κωνσταντίνος Μασσέλος,Konstantinos Masselos,Πληροφορικής και Τηλεπικοινωνιών,uop,Καθηγητής,3560,,
Ιωάννης Μαυρίδης,Ioannis Mavridis,Εφαρμοσμένης Πληροφορικής,uom,Καθηγητής,3176,,
Μάριος Μαυρονικόλας,Marios Mavronikolas, Πληροφορικής,University of Cyprus,Καθηγητής,1892,,
Βασίλειος Μεγαλοοικονόμου,Vasileios Megalooikonomou,Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής,upatras,Καθηγητής,7710,,
Λάζαρος  Μεράκος,Lazaros  Merakos,Πληροφορικής & Τηλεπικοινωνιών,uoa,Καθηγητής,18649,,
Παναγιώτης Μεταξάς,Panagiotis Metaxas, Computer Science,Wellesley College,Professor,419,,
Ευάγγελος Μήλιος,Evangelos Milios, Computer Science,Dalhousie University,Καθηγητής,2289,,
Περικλής Μήτκας,Periklis Mitkas,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,auth,Καθηγητής,7874,,
Αναστάσιος Μικρόπουλος,Anastasios Mikropoulos,Παιδαγωγικό Δημοτικής Εκπαίδευσης,uoi,Καθηγητής,9865,,
Ανδρέας Μνιέστρης ,Andreas Mniestris ,Μουσικών Σπουδών,ionio,Αναπληρωτής Καθηγητής,3752,,
Παναγιώτα Μορφούλη,Panagiota Morfouli,school of Engineering and Management,Institut Polytechnique de Grenoble,Καθηγητής,5054,,
Κυριάκος Μουρατίδης,Kyriakos Mouratidis,Επιστήμης Υπολογιστών,Singapore Management University,Αναπληρωτής Καθηγητής,7843,,
Χαράλαμπος Μουρατίδης,Charalampos Mouratidis,"School of Computing, Engineering and Mathematics",University of Brighton,Καθηγητής,1072,,
Κωνσταντίνος Μουρλάς,Konstantinos Mourlas,Επικοινωνίας & Μέσων Μαζικής Ενημέρωσης,uoa,Αναπληρωτής Καθηγητής,19426,,
Ιωάννης Μουρτζόπουλος,Ioannis Mourtzopoulos,Ηλεκτρολόγων Μηχανικών & Τεχνολογίας Υπολογιστών,upatras,Καθηγητής,18243,,
Κωνσταντίνος Μουστάκας,Konstantinos Moustakas,Ηλεκτρολόγων Μηχανικών & Τεχνολογίας Υπολογιστών,upatras,Αναπληρωτής Καθηγητής,18850,,
Γεώργιος  Μουστακίδης,Georgios  Moustakidis,Ηλεκτρολόγων Μηχ. & Τεχνολογίας Υπολογιστών,upatras,Καθηγητής,9762,,
Αθανάσιος Μουχτάρης,Athanasios Mouchtaris,Επιστήμης Υπολογιστών,uoc,Αναπληρωτής Καθηγητής,19537,,
Παντελής Μπάγκος,Pantelis Bagkos,Πληροφορικής με Εφαρμογές στη Βιοϊατρική ,uth,Καθηγητής,18109,,
Στυλιανός Μπακαμίδης,Stylianos Bakamidis,Ινστιτούτο Επεξεργασίας του Λόγου,Ε.Κ. Αθηνά,Διευθυντής Ερευνών,17848,,
 Κωνσταντίνος Μπάλας, Konstantinos Balas,Ηλεκτρονικών Μηχ και Μηχ Υπολογιστών,tuc,Καθηγητής,19456,,
Ευριπίδης Μπάμπης,Evripidis Bampis,Computer Science,"Sorbonne Universités, Université Pierre et Marie Curie (Paris 6)",Καθηγητής,1861,,
Γεράσιμος Μπαρμπάτης,Gerasimos Barmpatis,Μαθηματικών,uoa,Καθηγητής,6742,,
Νικόλαος Μπέλλας ,Nikolaos Bellas ,Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών,uth, Καθηγητής,9811,,
Παναγιώτης Μπένος,Panagiotis Benos,Computational and Systems Biology,University of Pittsburgh,Καθηγητής,1128,,
Κων/νος Μπερμπερίδης,Kon/nos Bermperidis,Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής,upatras,Καθηγητής,9995,,
Αντώνιος Μπικάκης,Antonios Bikakis, Information Studies,University College London,Αναπληρωτής Καθηγητής,5450,,
Άγγελος Μπίλας,Angelos Bilas,Επιστήμης Υπολογιστών,uoc,Καθηγητής,18041,,
Αλέξιος Μπίρμπας,Alexios Birmpas,Ηλεκτρ. Μηχ. και τεχν. Η/Υ,Παν/μιο Πατρών,Καθηγητής,19404,,
Κωνσταντίνος Μπλέκας,Konstantinos Blekas,Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής,uoi,Αναπληρωτής Καθηγητής,8741,,
Σπυρίδων Μπλιώνας,Spyridon Blionas,Πληροφορικής & Τηλεπικοινωνιών,uop,Αναπληρωτής Καθηγητής,11178,,
Αντώνιος Μπόγρης,Antonios Bogris,Μηχανικών Πληροφορικής και Υπολογιστών Πανεπιστήμιο Δυτικής Αττικής  (Μηχανικών Πληροφορικής Τ.Ε.),uniwa,Καθηγητής,18905,,
Αντώνιος  Μπουκουβαλας,Antonios  Boukouvalas,Πληροφορικής & Τηλεπικοινωνιών,uop,Καθηγητής,19242,,
Χρήστος Μπούρας ,Christos Bouras ,Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής,upatras,Καθηγητής,9829,,
Νικόλαος Μπουρμπάκης,Nikolaos Bourmpakis,Informatics and Technology,Wright State University,Καθηγητής,2334,,
Ιωάννης Μπούταλης,Ioannis Boutalis,Ηλεκτρολόγων Μηχανικών & Μηχανικών Η/Υ,duth,Καθηγητής,19667,,
Ματτίας Μπούχερ,Mattias Boucher,Ηλεκτρονικών Μηχανικών & Μηχανικών Υπολογιστών,tuc,Αναπληρωτής Καθηγητής,6511,,
Παύλος Μωραϊτης,Pavlos Moraitis,Mathematics and Computer Science,Paris Descartes University/Laboratory of Informatics Paris Descartes (LIPADE),Καθηγητής,3395,,
Κωνσταντίνα Νικήτα,Konstantina Nikita,Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών,ntua,Καθηγητής,10889,,
Μαρία Νικολαϊδη,Maria Nikolaidi,Πληροφορικής και Τηλεματικής,hua,Καθηγητής,19523,,
 Σπυρίδων Νικολαϊδης, Spyridon Nikolaidis,Φυσικής,auth,Καθηγητής,18160,,
Ιωάννης Νικολαϊδης,Ioannis Nikolaidis,Computing Science,University of Alberta,Professor,7285,,
Σωτήριος Νικολετσέας,Sotirios Nikoletseas,Μηχ. Η/Υ & Πληροφορικής,upatras,Καθηγητής,19750,,
Δημήτριος Νικολόπουλος,Dimitrios Nikolopoulos,"School of Electronics, Electrical Engineering and Computer Science",Virginia Polytechnic Inst.and State Univ.,Καθηγητής,9012,,
Χρήστος Νικολόπουλος,Christos Nikolopoulos,Μαθηματικών,aegean,Αναπληρωτής Καθηγητής,6112,,
Σταύρος Νικολόπουλος,Stavros Nikolopoulos,Μηχ. Η/Υ & Πληροφορικής,uoi,Καθηγητής,8631,,
 Δημήτριος Νικολός, Dimitrios Nikolos,Μηχ. Η/Υ & Πληροφορικής,upatras,Καθηγητής,18928,,
Χριστόφορος Νίκου,Christoforos Nikou,Μηχανικών Ηλεκτρονικών Υπολογιστών & Πληροφορικής,uoi, Καθηγητής,1690,,
Αθανάσιος Νταραντούμης,Athanasios Ntarantoumis,Πολιτισμικής Τεχνολογίας και Επικοινωνίας,aegean, Καθηγητής,18062,,
Αναστάσιος Ντελόπουλος,Anastasios Ntelopoulos,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,auth,Καθηγητής,18211,,
Ειρήνη Ντούτση,Eirini Ntoutsi,Faculty of Electrical Engineering and Computer Science,"Leibniz University Hannover, Germany",Αναπληρωτής καθηγητής,27772,,
Θωμάς Ξένος,Thomas Xenos,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,auth,Καθηγητής,9959,,
Κώστας Ξυδέας,Kostas Xydeas,Electrical Engineering,Lancaster University,Professor,10238,,
Στυλιανός Ξυνόγαλος,Stylianos Xynogalos,Εφαρμοσμένης Πληροφορικής,uom,Αναπληρωτής Καθηγητής,23170,,
Αναστάσιος  Οικονομίδης,Anastasios  Oikonomidis,Οικονομικών Επιστημών,uom,Καθηγητής,19652,,
Γεώργιος Οικονόμου,Georgios Oikonomou,Φυσικής,upatras,Καθηγητής,18334,,
Πολυξένη Παγγέ - Λέκκα,Polyxeni Pange - Lekka,Παιδαγωγικό Νηπιαγωγών,uoi,Καθηγητής,9339,,
Αριστείδης Παγουρτζής,Aristeidis Pagourtzis,Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών,ntua,Καθηγητής,11423,,
Λεωνίδας Παληός,Leonidas Palios,Μηχ. Η/Υ & Πληροφορικής,uoi,Καθηγητής,10841,,
Γεώργιος Παλιούρας,Georgios Paliouras,Ιντστιτούτο Πληροφορικής και Τηλεπικοινωνιών,demokritos,Διευθυντής Ερευνών,17659,,
Γιώργος Πάλλης,Giorgos Pallis,Πληροφορικής,University of Cyprus,Αναπληρωτής Καθηγητής,21434,,
Χρήστος Παναγιωτακόπουλος,Christos Panagiotakopoulos,Επιστημών της Εκπαίδευσης & Κοινωνικής Εργασίας,upatras,Καθηγητής,5858,,
Θεμιστοκλής Παναγιωτόπουλος,Themistoklis Panagiotopoulos,Πληροφορικής,unipi,Καθηγητής,2296,,
Δημήτριος  Πάντος,Dimitrios  Pantos,Electrical Engineering,State University of New York at Buffalo,Professor,4330,,
Γεώργιος Παπαγιαννάκης,Georgios Papagiannakis,Επιστήμης Υπολογιστών,uoc,Αναπληρωτής Καθηγητής,1020,,
Γεωργιος Άγγελος Παπαδόπουλος,Georgios Angelos Papadopoulos,Computer Science,University of Cyprus,Καθηγητής,1261,,
Γιάννης Παπαδόπουλος,Giannis Papadopoulos,Computer Science,University of Hull,Καθηγητής,720,,
Γεώργιος Παπαϊωάννου,Georgios Papaioannou,Πληροφορικής,aueb,Αναπληρωτής Καθηγητής,8098,,
Γιάννης Παπακωνσταντίνου,Giannis Papakonstantinou,Computer Science and Engineering ,"University of California, San Diego",Καθηγητής,9165,,
Νικόλαος Παπαμάρκος,Nikolaos Papamarkos,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,duth,Καθηγητής,18596,,
Ιωάννης Παπανάνος,Ioannis Papananos,Ηλεκτρολόγων Μηχ. & Μηχ. Υπολογιστών,ntua,Καθηγητής,17725,,
Ευάγγελος Παπαπέτρου,Evangelos Papapetrou,Μηχανικών Η/Υ & Πληροφορικής,uoi,Επίκουρος Καθηγητής (Μόνιμος),5478,,
Ανδρέας Παπασαλούρος,Andreas Papasalouros,Μαθηματικών,aegean,Επίκουρος Καθηγητής (Μόνιμος),10471,,
Νικόλαος Παπασπύρου,Nikolaos Papaspyrou,Ηλεκτρολόγων Μηχ. & Μηχ. Υπολογιστών,ntua,Καθηγητής,17609,,
Αθανάσιος Παπίστας,Athanasios Papistas,Μαθηματικών,auth,Καθηγητής,19312,,
Νικόλαος Παραγυιός,Nikolaos Paragyios,Applied Mathematics,Ecole Centrale de Paris,Καθηγητής,5426,,
Φωτεινή Παρασκευά,Foteini Paraskeva,Ψηφιακών Συστημάτων,unipi,Καθηγητής,5159,,
 Αντώνιος Πασχάλης, Antonios Paschalis,Πληροφοριοκής και Τηλεπικοινωνιών,uoa,Καθηγητής,2249,,
Βαγγέλης Πάσχος,Vangelis Paschos,Computer Science,University Paris-Dauphine,Καθηγητής,7485,,
Κωνσταντίνος Παττίχης,Konstantinos Pattichis, Computer Science,University of Cyprus,Καθηγητής,5314,,
Γεώργιος Παυλίδης,Georgios Pavlidis,Μηχ. Η/Υ & Πληροφορικής,upatras,Καθηγητής,1164,,
Νίκος Παυλίδης,Nikos Pavlidis,Management Science,Lancaster University,Αναπληρωτής καθηγητής,27390,,
Φωτεινή - Νιόβη Παυλίδου ,Foteini - Niovi Pavlidou ,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,auth,Καθηγητής,10392,,
Γεώργιος Παύλου,Georgios Pavlou, Electronic and Electrical Engineering,University College London,Καθηγητής,11268,,
Κιαμάλ Πεκμεστζή,Kiamal Pekmestzi,Ηλεκτρονικών Μηχ και Μηχ Υπολογιστών,ntua,Καθηγητής,2013,,
 Νικόλαος Πελεκάνος, Nikolaos Pelekanos,Επιστήμηης και Τεχνολογίας Υλικών,uoc,Καθηγητής,7389,,
Νικόλαος Πελέκης,Nikolaos Pelekis,Στατιστικής και Ασφαλιστικής Επιστήμης,unipi,Αναπληρωτής Καθηγητής,23417,,
Παύλος Πέππας,Pavlos Peppas,Ηλεκτρολόγων Μηχανικών & Τεχνολογίας Υπολογιστών,upatras,Καθηγητής,19540,,
Σταύρος Περαντώνης,Stavros Perantonis,Ινστιτούτο Πληροφορικής και Τηλεπικοινωνιών,demokritos,Διευθυντής Ερευνών,17487,,
Ευρυπίδης Πετράκης,Evrypidis Petrakis,Ηλεκτρονικών Μηχανικών & Μηχανικών Υπολογιστών,tuc,Καθηγητής,3599,,
Μιλτιάδης Πετρίδης,Miltiadis Petridis,School of Computing Engineering and Mathematics,Unibersity of Brighton,Καθηγητής,4100,,
Ευαγγελία Πιτουρά,Evangelia Pitoura,Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής,uoi,Καθηγητής,4652,,
Ανδρέας Πιτσιλλίδης,Andreas Pitsillidis, Computer Science,University of Cyprus,Καθηγητής,11513,,
Δημήτριος Πλεξουσάκης,Dimitrios Plexousakis,Έπιστήμης Υπολογιστών,uoc,Καθηγητής,2191,,
Διονύσιος Πνευματικάτος ,Dionysios Pnevmatikatos ,Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών,ntua,Καθηγητής,18599,,
Χρήστος Πολίτης,Christos Politis,"Faculty of Science, Engineering and Computing",Kingston University London,Καθηγητής,1786,,
Γεώργιος  Πολύζος,Georgios  Polyzos,Πληροφορικής,aueb,Καθηγητής,8037,,
Νεοκλής Πολυζώτης,Neoklis Polyzotis,Επιστήμης Υπολογιστών,University of California Santa Cruz,Καθηγητής,5718,,
Αλέξανδρος Ποταμιάνος,Alexandros Potamianos,Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών,ntua,Αναπληρωτής Καθηγητής,3760,,
Γεράσιμος Ποταμιάνος,Gerasimos Potamianos,Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών,uth,Αναπληρωτής Καθηγητής,8779,,
Δημήτριος Πουλάκης,Dimitrios Poulakis,Μαθηματικών,auth,Καθηγητής,19745,,
Ιωάννης Πρατικάκης,Ioannis Pratikakis,Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών,duth,Καθηγητής,17933,,
Ανδριάνα Πρέντζα,Andriana Prentza,Ψηφιακών Συστημάτων,unipi,Καθηγητής,6222,,
Κωνσταντίνος Ραυτόπουλος,Konstantinos Raftopoulos,,Conservatoire National des Arts et Métiers (CNAM),Κύριος Ερευνητής,2262,,
Γεώργιος Ραχώνης,Georgios Rachonis,Μαθηματικών,auth,Καθηγητής,19520,,
Ιωάννης Ρέκανος,Ioannis Rekanos,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,auth,Καθηγητής,19355,,
Συμεών Ρετάλης,Symeon Retalis,Ψηφιακών Συστημάτων,unipi, Καθηγητής,5704,,
Γεώργιος Ροβιθάκης,Georgios Rovithakis,Ηλεκτρολόγων Μηχ και Μηχ Υπολογιστών,auth,Καθηγητής,11104,,
Βασίλειος Ρόθος,Vasileios Rothos,Μηχανολόγων Μηχανικών,auth,Καθηγητής,6060,,
Παναγιώτης Ροντογιάννης,Panagiotis Rontogiannis,Πληροφορικής και Τηλεπικοινωνιών,uoa,Καθηγητής,6836,,
Εμμανουήλ Ρουμελιώτης,Emmanouil Roumeliotis,Εφαρμοσμένης Πληροφορικής,uom,Καθηγητής,9385,,
Αγγελος Ρουσκας,Angelos Rouskas,Ψηφιακών Συστημάτων,unipi,Καθηγητής,2069,,
Γεώργιος Ρούσκας,Georgios Rouskas,Computer Science,North Carolina State University ,Καθηγητής,516,,
Αντώνιος Σαββίδης,Antonios Savvidis,Επιστήμης Υπολογιστών,uoc,Καθηγητής,10816,,
Δημήτριος Σάμψων,Dimitrios Sampson,Ψηφιακών Συστημάτων,unipi,Καθηγητής,1155,,
Μαρία - Αικατερίνη Σατρατζέμη,Maria - Aikaterini Satratzemi,Εφαρμοσμένης Πληροφορικής,uom,Καθηγητής,5697,,
Κυριάκος Σγάρμπας,Kyriakos Sgarmpas,Ηλεκτρολόγων Μηχανικών και Τεχνολογίας Υπολογιστών,upatras,Αναπληρωτής Καθηγητής,18767,,
Βασίλειος Σεβρόγλου,Vasileios Sevroglou,Στατιστικής και Ασφαλιστικής Επιστήμης,unipi,Αναπληρωτής Καθηγητής,17261,,
Τιμολέων Σελλής,Timoleon Sellis,Swinburne University of Technology,Swinburne University of Technology,Καθηγητής,4653,,
Γεώργιος Σεργιάδης,Georgios Sergiadis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,auth,Καθηγητής,19216,,
Δημήτριος Σερπάνος ,Dimitrios Serpanos ,Ηλεκτρολόγων Μηχ και Τεχνολογίας Υπολογιστών,upatras,Καθηγητής,18500,,
Νικόλαος Σιδηρόπουλος,Nikolaos Sidiropoulos, Electrical and Computer Engineering,University of Virginia,Professor,4255,,
Σπυρίδων Σιούτας,Spyridon Sioutas,Μηχανικών Ηλεκτρονικών Υπολογιστών και Πληροφορικής,upatras,Καθηγητής,6743,,
Στυλιανός Σίσκος ,Stylianos Siskos ,Φυσικής,auth,Καθηγητής,17844,,
Σωτήρης Σκεβούλης,Sotiris Skevoulis,School of Computer Science and Information Systems,Pace University,Kαθηγητής,1723,,
Χαράλαμπος Σκιάνης,Charalampos Skianis,Μηχανικων  Πληροφοριακων Και Επικοινωνιακων Συστηματων,aegean, Καθηγητής,18470,,
Αθανάσιος Σκόδρας,Athanasios Skodras,Ηλεκτρολόγων Μηχ. & Τεχνολογίας Υπολογιστών,upatras,Καθηγητής,2250,,
Ιωάννης Σμαραγδάκης,Ioannis Smaragdakis,Πληροφορικής και Τηλεπικοινωνιών,uoa,Καθηγητής,3347,,
Μάκης (Γεράσιμος) Σολωμός,Makis (Gerasimos) Solomos,Département de Musique,"Université Paris 8, EMDCM, France",Καθηγητής,6076,,
Δημήτριος Σούντρης,Dimitrios Sountris,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,ntua,Καθηγητής,18456,,
Γεώργιος Σπανουδάκης,Georgios Spanoudakis,Computer Science,City University London,Καθηγητής,10542,,
Μαρία Σπηλιοπούλου,Maria Spiliopoulou,Technical and Business Information Systems,Otto-von-Guericke University Magdeburg,Καθηγητής,11496,,
Διομήδης Σπινέλλης,Diomidis Spinellis,Διοικητικής Επιστήμης και Τεχνολογίας,aueb,Καθηγητής,17574,,
Κωνσταντίνος Στάθης,Konstantinos Stathis, Computer Science,"Royal Holloway, University of London",Καθηγητής,9780,,
Ευστάθιος  Σταματάτος ,Efstathios  Stamatatos ,Μηχανικών Πληροφοριακών και Επικοινωνιακών Συστημάτων,aegean,Καθηγητής,6081,,
Ιωάννης Σταματίου,Ioannis Stamatiou,Διοίκησης Επιχειρήσεων,upatras,Καθηγητής,3834,,
Παναγιώτης Σταματόπουλος,Panagiotis Stamatopoulos,Πληροφορικής και Τηλεπικοινωνιών,uoa,Επίκουρος Καθηγητής (Μόνιμος),10419,,
Γεώργιος Στάμου,Georgios Stamou,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ntua,Αναπληρωτής Καθηγητής,16773,,
Γεώργιος Σταμούλης,Georgios Stamoulis,Τμήμα Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών,uth,Καθηγητής,3733,,
Αλεξανδρος  Σταυδάς,Alexandros  Stavdas,Πληροφορικής και Τηλεπικοινωνιών,uop,Καθηγητής,8110,,
Ιωάννης  Σταυρακάκης,Ioannis  Stavrakakis,Πληροφορικής & Τηλεπικοινωνιών,uoa,Καθηγητής,10847,,
Ανδρέας-Γεώργιος Σταφυλοπάτης,Andreas-Georgios Stafylopatis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ntua,Καθηγητής,18625,,
Κωνσταντίνος Στεργίου,Konstantinos Stergiou,Μηχανικών Πληροφορικής και Τηλεπικοινωνιών,uowm,Καθηγητής,19516,,
Λάμπρος Στεργιούλας,Lampros Stergioulas, Business Transformation,University of Surrey,Καθηγητής,163,,
Κωνσταντίνος Στεφανίδης,Konstantinos Stefanidis,Επιστήμης Υπολογιστών,uoc,Καθηγητής,18530,,
Ιωάννης Στρατής,Ioannis Stratis,Μαθηματικών,uoa,Καθηγητής,18095,,
Ελένη Στρούλια,Eleni Stroulia, Computer Science,University of Alberta,Καθηγητής,2219,,
Ιωάννης Στυλιανού,Ioannis Stylianou,Επιστήμης Υπολογιστών,uoc,Καθηγητής,9558,,
Δημήτριος  Συβρίδης,Dimitrios  Syvridis,Πληροφορικής & Τηλεπικοινωνιών,uoa,Καθηγητής,9533,,
Ευστάθιος  Συκάς,Efstathios  Sykas,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ntua,Καθηγητής,19447,,
Αντώνιος Συμβώνης,Antonios Symvonis,Εφαρμοσμένων Μαθηματικών και Φυσικών Επιστημών,ntua,Καθηγητής,19932,,
Ανδρέας Συμεωνίδης,Andreas Symeonidis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,auth,Αναπληρωτής Καθηγητής,19319,,
Γεώργιος Συρακούλης,Georgios Syrakoulis,Ηλεκτρολόγων Μηχ & Μηχ Η/Υ,duth,Καθηγητής,1354,,
Βασίλειος Σύρης,Vasileios Syris,Πληροφορικής,aueb,Καθηγητής,19845,,
Μιχαήλ Σφακιανάκης,Michail Sfakianakis,Οργάνωσης και Διοίκησης Επιχειρήσεων,unipi,Καθηγητής,8003,,
Χρίστος Σχίζας,Christos Schizas,Computer Science,University of Cyprus,Καθηγητής,2728,,
Παύλος - Πέτρος Σωτηριάδης,Pavlos - Petros Sotiriadis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ntua,Καθηγητής,4578,,
Κωνσταντίνος Ταραμπάνης,Konstantinos Tarampanis,Οργάνωσης και Διοίκησης Επιχειρήσεων,uom,Καθηγητής,19611,,
Μιχαήλ Ταρουδάκης,Michail Taroudakis,Μαθηματικών και Εφαρμοσμένων Μαθηματικών,uoc,Καθηγητής,9652,,
Γεώργιος Τζανετάκης,Georgios Tzanetakis, Computer Science,"University of Victoria, Canada",Καθηγητής,384,,
Ελπίδα Τζαφέστα,Elpida Tzafesta,Ιστορίας και Φιλοσοφίας της Επιστήμης,uoa,Αναπληρωτής Καθηγητής,6163,,
Αθανάσιος Τζιμογιάννης,Athanasios Tzimogiannis,Κοινωνικής & Εκπαιδευτικής Πολιτικής,uop,Καθηγητής,5404,,
Γεώργιος Τζιρίτας,Georgios Tziritas,Επιστήμης Υπολογιστών,uoc,Καθηγητής,4745,,
 Δημήτριος Τζοβάρας , Dimitrios Tzovaras ,Ινστιτούτο Τεχνολογιών Πληροφορικής και Επικοινωνιών,certh,Διευθυντής Ερευνών,18358,,
Θεόδωρος Τζουραμάνης,Theodoros Tzouramanis,Πληροφορική με Εφαρμογές στη Βιοϊατρική,uth,Επίκουρος Καθηγητής (Μόνιμος),1166,,
Στυλιανός  Τζωρτζάκης,Stylianos  Tzortzakis,Επιστήμης και Τεχνολογίας Υλικών,uoc,Καθηγητής,9644,,
Ιωάννης Τιγκελης ,Ioannis Tigkelis ,Φυσικής,uoa,Καθηγητής,18131,,
Ιωάννης Τόλλης,Ioannis Tollis,Επιστήμης Υπολογιστών,uoc,Καθηγητής,18418,,
